collection,source_product,source_category,similar_products,similar_categories,similarity_scores,validation_status,error_type
pants_shorts,Deep One Tuck Sweat Shorts [Grey],쇼츠,"['Deep One Tuck Sweat Shorts [Grey]', 'Deep One Tuck Pigment Sweat Shorts [Charcoal]', '코튼 숏팬츠 라이트그레이', 'ASI 에센셜 버뮤다 스웻 팬츠_피그먼트 그레이', '버뮤다 쇼츠 1147 블랙', '원턱 버뮤다 스웨트 반바지 - 다크 블루']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.2), np.float64(88.71), np.float64(86.4), np.float64(84.26), np.float64(80.66), np.float64(79.85)]",success,
pants_shorts,Double cable knit pants - Grey,쇼츠,"['Double cable knit pants - Grey', 'Peach Cotton Short pants - Black', '유니언잭 골지 쇼츠 블랙', 'CREPE ZIPPED SHORTS', '미니멀 원턱 하프 스웻 팬츠 블랙', '세이지 그라데이션 쇼츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(86.93), np.float64(80.29), np.float64(80.28), np.float64(79.64), np.float64(79.05)]",success,
pants_shorts,ELBADI HALF PANTS GRAY,쇼츠,"['ELBADI HALF PANTS GRAY', 'Wholegarment Mini Shorts', '베이직 숏 팬츠 AP2WP462', '리넨 쇼츠  베이지 (354625JQ1A)', 'CREPE ZIPPED SHORTS', '밴딩 쇼츠  블랙 (354725MB25)']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.6), np.float64(72.38), np.float64(70.11), np.float64(67.68), np.float64(66.17), np.float64(66.11)]",success,
pants_shorts,Floral Print Padded Shorts,쇼츠,"['Floral Print Padded Shorts', 'Black White Point Button Short Pants', '슬럽 데님 쇼츠  스카이 블루 (324725DPCQ)', '세이지 그라데이션 쇼츠', 'Slim Fitting Knee Length Shorts', 'G CLASSIC RIB SHORTS (BLACK)']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(70.04), np.float64(67.94), np.float64(67.88), np.float64(67.75), np.float64(66.84)]",success,
pants_shorts,G CLASSIC RIB SHORTS (BLACK),쇼츠,"['G CLASSIC RIB SHORTS (BLACK)', '유니언잭 골지 쇼츠 블랙', '니트 마이크로 쇼츠_네이비', 'Peach Cotton Short pants - Black', 'Double cable knit pants - Grey', 'CREPE ZIPPED SHORTS']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(77.21), np.float64(77.0), np.float64(76.16), np.float64(71.18), np.float64(71.02)]",success,
pants_shorts,MAN 반바지 FUNCHAL LightPastel Gray 77990585,쇼츠,"['MAN 반바지 FUNCHAL LightPastel Gray 77990585', 'MAN 반바지 FUNCHAL Sand 77090585', 'MAN 버뮤다 쇼츠 JAROD Open Gray 77060596', 'Deep One Tuck Sweat Shorts [Grey]', '투턱 와이드 버뮤다 반바지 [블랙]', '코튼 숏팬츠 라이트그레이']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.79), np.float64(95.69), np.float64(83.79), np.float64(75.36), np.float64(75.0), np.float64(74.75)]",success,
pants_shorts,MAN 반바지 FUNCHAL Sand 77090585,쇼츠,"['MAN 반바지 FUNCHAL Sand 77090585', 'MAN 반바지 FUNCHAL LightPastel Gray 77990585', 'MAN 버뮤다 쇼츠 JAROD Open Gray 77060596', '버뮤다 와이드 원턱 카고 스웨트 쇼츠 [카키]', '투턱 와이드 버뮤다 반바지 [블랙]', '원턱 버뮤다 스웨트 반바지 - 다크 블루']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(94.97), np.float64(85.26), np.float64(72.87), np.float64(71.71), np.float64(71.01)]",success,
pants_shorts,MAN 버뮤다 쇼츠 JAROD Open Gray 77060596,쇼츠,"['MAN 버뮤다 쇼츠 JAROD Open Gray 77060596', 'MAN 반바지 FUNCHAL Sand 77090585', 'MAN 반바지 FUNCHAL LightPastel Gray 77990585', '하프 캠프 팬츠 블랙', '버뮤다 하프 워크 데님 팬츠_Black', '투턱 와이드 버뮤다 반바지 [블랙]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.59), np.float64(85.89), np.float64(84.36), np.float64(75.42), np.float64(73.1), np.float64(72.89)]",success,
pants_shorts,MGMPA22FW509NV,쇼츠,"['MGMPA22FW509NV', '2NDUP 베이직 숏팬츠', '쥐 로고 쇼츠 - 핑크 #1', '트라이앵글 하드코어_GWP', '테리 쇼츠(IVORY)', '여성 경량 우븐스트레치 숏팬츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(96.51), np.float64(67.84), np.float64(67.64), np.float64(66.09), np.float64(65.23), np.float64(65.06)]",success,
pants_shorts,Peach Cotton Short pants - Black,쇼츠,"['Peach Cotton Short pants - Black', 'Double cable knit pants - Grey', '버뮤다 하프 워크 데님 팬츠_Black', '유니언잭 골지 쇼츠 블랙', 'CREPE ZIPPED SHORTS', 'Pintuck short pants _ white']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.82), np.float64(84.85), np.float64(81.31), np.float64(81.19), np.float64(80.52), np.float64(79.09)]",success,
pants_shorts,Pintuck short pants _ white,쇼츠,"['Pintuck short pants _ white', '4플리츠 반바지(아이보리)', '뒷 밴딩 턱  숏팬츠 OW4ML5240', 'Peach Cotton Short pants - Black', '메타 엠보 반바지 MW3ML260', 'Double cable knit pants - Grey']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(83.34), np.float64(81.8), np.float64(80.78), np.float64(79.6), np.float64(78.37)]",success,
pants_shorts,REFRESHING LOGO 스웨트 하프 팬츠 - 그레이,쇼츠,"['REFRESHING LOGO 스웨트 하프 팬츠 - 그레이', 'Deep One Tuck Sweat Shorts [Grey]', '코튼 숏팬츠 라이트그레이', 'Reverse Cotton Short Pants - Black', '플로피 팬츠 _ 민트', '메타 엠보 반바지 MW3ML260']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.6), np.float64(75.51), np.float64(72.88), np.float64(70.36), np.float64(70.0), np.float64(69.94)]",success,
pants_shorts,Reverse Cotton Short Pants - Black,쇼츠,"['Reverse Cotton Short Pants - Black', 'Beige Label Button Shorts - Black', '버뮤다 쇼츠 1147 블랙', '여성 경량 우븐스트레치 숏팬츠', '게더레이지 치노 웨스턴 쇼츠 블랙', '미니멀 원턱 하프 스웻 팬츠 블랙']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.99), np.float64(79.21), np.float64(77.86), np.float64(77.65), np.float64(75.41), np.float64(74.78)]",success,
pants_shorts,Rush bermuda pants,쇼츠,"['Rush bermuda pants', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]', '버뮤다 카펜터 숏 데님팬츠 밴딩 딥 블루', '레터링 데님 숏팬츠(Indigo Blue)', '버뮤다 하프 워크 데님 팬츠_Black', '세이지 그라데이션 쇼츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(95.76), np.float64(72.27), np.float64(69.99), np.float64(69.32), np.float64(68.69), np.float64(68.23)]",success,
pants_shorts,Slim Fitting Knee Length Shorts,쇼츠,"['Slim Fitting Knee Length Shorts', '베이직 쇼츠 NAES2-MPH100_300', '하프 캠프 팬츠 블랙', '나일론 쿨 썸머 베이직 숏츠', '버뮤다 하프 워크 데님 팬츠_Black', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(97.63), np.float64(78.39), np.float64(75.13), np.float64(73.26), np.float64(73.1), np.float64(70.67)]",success,
pants_shorts,SPECIAL I_BWP,쇼츠,"['SPECIAL I_BWP', '트라이앵글 47-01_BBP', '트라이앵글 하드코어_GWP', '트라이앵글 47-01_GWP', '버뮤다 쇼츠 1147 블랙', '게더레이지 치노 웨스턴 쇼츠 블랙']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.23), np.float64(85.57), np.float64(82.68), np.float64(80.71), np.float64(71.95), np.float64(70.95)]",success,
pants_shorts,"SPORTY MESH HALF-PANTS, GREY",쇼츠,"['SPORTY MESH HALF-PANTS, GREY', '코튼 숏팬츠 라이트그레이', '유틸리티 메모리 스트링 카고 숏팬츠_검정', '메타 엠보 반바지 MW3ML260', '여성 경량 우븐스트레치 숏팬츠', 'Deep One Tuck Sweat Shorts [Grey]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.69), np.float64(80.79), np.float64(79.97), np.float64(79.61), np.float64(79.51), np.float64(78.75)]",success,
pants_shorts,TIE-DYE SHORTS_T216BT707,쇼츠,"['TIE-DYE SHORTS_T216BT707', 'Double cable knit pants - Grey', '세이지 그라데이션 쇼츠', 'Pintuck short pants _ white', 'Peach Cotton Short pants - Black', '메타 엠보 반바지 MW3ML260']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.42), np.float64(72.42), np.float64(71.95), np.float64(71.68), np.float64(71.39), np.float64(71.18)]",success,
pants_shorts,VOLUME SHIRRING SHORTS,쇼츠,"['VOLUME SHIRRING SHORTS', 'Double cable knit pants - Grey', '나일론 쿨 썸머 베이직 숏츠', '유틸리티 메모리 스트링 카고 숏팬츠_검정', '메타 엠보 반바지 MW3ML260', '유니언잭 골지 쇼츠 블랙']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(73.9), np.float64(73.74), np.float64(73.73), np.float64(73.16), np.float64(73.02)]",success,
pants_shorts,Wave Printed Shorts  Pink,쇼츠,"['Wave Printed Shorts  Pink', '사이드라인 버뮤다 스웨트 8부 팬츠 블랙', '버뮤다 하프 워크 데님 팬츠_Black', '원턱 버뮤다 스웨트 반바지 - 다크 블루', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]', '나일론 쿨 썸머 베이직 숏츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.62), np.float64(77.52), np.float64(76.84), np.float64(76.71), np.float64(76.35), np.float64(75.45)]",success,
pants_shorts,Wholegarment Mini Shorts,쇼츠,"['Wholegarment Mini Shorts', '밴딩 쇼츠  블랙 (354725MB25)', 'Double cable knit pants - Grey', 'TIE-DYE SHORTS_T216BT707', 'Peach Cotton Short pants - Black', 'ELBADI HALF PANTS GRAY']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.03), np.float64(75.1), np.float64(74.0), np.float64(72.3), np.float64(71.54), np.float64(71.27)]",success,
pants_shorts,[-7cm 숏버전 추가] 데님 워크 팬츠_연청,쇼츠,"['[-7cm 숏버전 추가] 데님 워크 팬츠_연청', '[-7cm 숏버전 추가] 데님 워크 팬츠_진청', 'Peach Cotton Short pants - Black', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]', 'Double cable knit pants - Grey', '세이지 그라데이션 쇼츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.1), np.float64(91.43), np.float64(75.18), np.float64(74.7), np.float64(74.13), np.float64(72.94)]",success,
pants_shorts,[-7cm 숏버전 추가] 데님 워크 팬츠_진청,쇼츠,"['[-7cm 숏버전 추가] 데님 워크 팬츠_진청', '[-7cm 숏버전 추가] 데님 워크 팬츠_연청', 'Peach Cotton Short pants - Black', '세이지 그라데이션 쇼츠', 'Double cable knit pants - Grey', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.51), np.float64(89.57), np.float64(77.55), np.float64(76.29), np.float64(75.77), np.float64(75.0)]",success,
pants_shorts,[24SS] LKS23353올리브 사이드 아웃포켓 하프팬츠,쇼츠,"['[24SS] LKS23353올리브 사이드 아웃포켓 하프팬츠', '버뮤다 쇼츠 1147 블랙', '유틸리티 메모리 스트링 카고 숏팬츠_검정', '게더레이지 치노 웨스턴 쇼츠 블랙', '밴딩 하프 팬츠 NAEU5-WPH310_550', '버뮤다 와이드 원턱 카고 스웨트 쇼츠 [카키]']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.64), np.float64(81.9), np.float64(80.88), np.float64(79.46), np.float64(78.68), np.float64(77.87)]",success,
pants_shorts,[2PACK] 데일리 트레이닝 나일론 쇼츠,쇼츠,"['[2PACK] 데일리 트레이닝 나일론 쇼츠', '코튼 숏팬츠 라이트그레이', 'ASI 에센셜 버뮤다 스웻 팬츠_피그먼트 그레이', '여성 경량 우븐스트레치 숏팬츠', '버뮤다 쇼츠 1147 블랙', '플로피 팬츠 _ 민트']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.33), np.float64(81.41), np.float64(75.43), np.float64(75.34), np.float64(75.03), np.float64(74.3)]",success,
pants_shorts,[4color] 시그니처 코튼 숏팬츠 MDPT052,쇼츠,"['[4color] 시그니처 코튼 숏팬츠 MDPT052', 'Peach Cotton Short pants - Black', '벨티드 코튼 쇼츠  블랙 (354725MB15)', 'Pintuck short pants _ white', '에센셜 골지 숏팬츠_BLACK', 'Buckle Point Wrap Shorts_Navy']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.69), np.float64(74.54), np.float64(71.98), np.float64(70.62), np.float64(70.34), np.float64(68.51)]",success,
pants_shorts,[DE LUXE] 플렉서블 밴딩 반바지 DLX1316 (5 COLOR),쇼츠,"['[DE LUXE] 플렉서블 밴딩 반바지 DLX1316 (5 COLOR)', '버뮤다 하프 워크 데님 팬츠_Black', '원턱 버뮤다 스웨트 반바지 - 다크 블루', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]', '하프 캠프 팬츠 블랙', '코튼 숏팬츠 라이트그레이']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.27), np.float64(81.34), np.float64(80.98), np.float64(80.2), np.float64(79.8), np.float64(77.84)]",success,
pants_shorts,[남성] 퀄리파이 런 쇼츠_블랙 VR14331010,쇼츠,"['[남성] 퀄리파이 런 쇼츠_블랙 VR14331010', '여성 경량 우븐스트레치 숏팬츠', '[여성] 블리스블렌드 쇼츠_민트 VR24332015', '2NDUP 베이직 숏팬츠', '퀵 드라이 2in1 7-inch 쇼츠 [블랙]', '[2PACK] 데일리 트레이닝 나일론 쇼츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.17), np.float64(79.58), np.float64(78.0), np.float64(76.85), np.float64(74.05), np.float64(73.72)]",success,
pants_shorts,[여성] 블리스블렌드 쇼츠_민트 VR24332015,쇼츠,"['[여성] 블리스블렌드 쇼츠_민트 VR24332015', '[남성] 퀄리파이 런 쇼츠_블랙 VR14331010', '2NDUP 베이직 숏팬츠', '쥐 로고 쇼츠 - 핑크 #1', 'Deep One Tuck Sweat Shorts [Grey]', '코튼 숏팬츠 라이트그레이']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.81), np.float64(80.63), np.float64(78.07), np.float64(70.49), np.float64(70.08), np.float64(69.64)]",success,
pants_shorts,게더레이지 치노 웨스턴 쇼츠 블랙,쇼츠,"['게더레이지 치노 웨스턴 쇼츠 블랙', '버뮤다 쇼츠 1147 블랙', '코튼 숏팬츠 라이트그레이', '유틸리티 메모리 스트링 카고 숏팬츠_검정', '[24SS] LKS23353올리브 사이드 아웃포켓 하프팬츠', '하프 캠프 팬츠 블랙']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.79), np.float64(87.8), np.float64(81.94), np.float64(81.1), np.float64(80.46), np.float64(80.32)]",success,
pants_shorts,골지 마이크로 쇼츠_블랙,쇼츠,"['골지 마이크로 쇼츠_블랙', '유니언잭 골지 쇼츠 블랙', '니트 마이크로 쇼츠_네이비', 'Peach Cotton Short pants - Black', 'Floral Print Padded Shorts', 'G CLASSIC RIB SHORTS (BLACK)']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(98.14), np.float64(69.99), np.float64(69.74), np.float64(68.03), np.float64(67.63), np.float64(66.83)]",success,
pants_shorts,나일론 쿨 썸머 베이직 숏츠,쇼츠,"['나일론 쿨 썸머 베이직 숏츠', '라이프 우븐 숏팬츠 1111 라이트블루', '원턱 밴딩 버뮤다 데님 쇼츠 [미디엄 블루]', '하프 캠프 팬츠 블랙', '버뮤다 쇼츠 1147 블랙', '원턱 버뮤다 스웨트 반바지 - 다크 블루']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(97.45), np.float64(79.4), np.float64(79.32), np.float64(79.03), np.float64(78.89), np.float64(78.87)]",success,
pants_shorts,남성 아웃라인 로고 라운지 쇼츠_마린_0814131026,쇼츠,"['남성 아웃라인 로고 라운지 쇼츠_마린_0814131026', '여성 경량 우븐스트레치 숏팬츠', '라이프 우븐 숏팬츠 1111 라이트블루', 'Deep One Tuck Sweat Shorts [Grey]', '트라이앵글 47-01_BBP', '2NDUP 베이직 숏팬츠']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(97.76), np.float64(69.16), np.float64(67.77), np.float64(67.25), np.float64(66.72), np.float64(66.54)]",success,
pants_shorts,니트 마이크로 쇼츠_네이비,쇼츠,"['니트 마이크로 쇼츠_네이비', 'Beige Label Button Shorts - Black', 'G CLASSIC RIB SHORTS (BLACK)', '유니언잭 골지 쇼츠 블랙', 'Double cable knit pants - Grey', 'Peach Cotton Short pants - Black']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(78.03), np.float64(77.0), np.float64(75.82), np.float64(73.02), np.float64(71.06)]",success,
pants_shorts,뒷 밴딩 턱  숏팬츠 OW4ML5240,쇼츠,"['뒷 밴딩 턱  숏팬츠 OW4ML5240', '4플리츠 반바지(아이보리)', '메타 엠보 반바지 MW3ML260', '핀턱 버뮤다 팬츠(블랙)', 'Pintuck short pants _ white', '게더레이지 치노 웨스턴 쇼츠 블랙']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.64), np.float64(87.24), np.float64(86.63), np.float64(81.42), np.float64(81.41), np.float64(77.85)]",success,
pants_shorts,라벨 포인트 골지 니트 마이크로 밴딩 쇼츠 팬츠 _ 4COLOR,쇼츠,"['라벨 포인트 골지 니트 마이크로 밴딩 쇼츠 팬츠 _ 4COLOR', '[2PACK] 데일리 트레이닝 나일론 쇼츠', 'Beige Label Button Shorts - Black', '4플리츠 반바지(아이보리)', 'CREPE ZIPPED SHORTS', 'Peach Cotton Short pants - Black']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(74.69), np.float64(74.53), np.float64(74.25), np.float64(74.25), np.float64(73.12)]",success,
pants_shorts,라이프 우븐 숏팬츠 1111 라이트블루,쇼츠,"['라이프 우븐 숏팬츠 1111 라이트블루', '나일론 쿨 썸머 베이직 숏츠', '플로피 팬츠 _ 민트', '여성 경량 우븐스트레치 숏팬츠', '우먼 플로피팬츠-엘로우', '코튼 숏팬츠 라이트그레이']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(80.11), np.float64(78.83), np.float64(78.72), np.float64(77.25), np.float64(74.95)]",success,
pants_shorts,레터링 데님 숏팬츠(Indigo Blue),쇼츠,"['레터링 데님 숏팬츠(Indigo Blue)', '세이지 그라데이션 쇼츠', '4플리츠 반바지(아이보리)', '메타 엠보 반바지 MW3ML260', '뒷 밴딩 턱  숏팬츠 OW4ML5240', 'Rush bermuda pants']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.61), np.float64(82.24), np.float64(72.93), np.float64(72.43), np.float64(71.73), np.float64(71.38)]",success,
pants_shorts,로티플 우먼즈 스웨트 숏팬츠,쇼츠,"['로티플 우먼즈 스웨트 숏팬츠', 'Beige Label Button Shorts - Black', '메타 엠보 반바지 MW3ML260', '유틸리티 메모리 스트링 카고 숏팬츠_검정', 'SPECIAL I_BWP', '트라이앵글 47-01_BBP']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(100.0), np.float64(69.76), np.float64(69.34), np.float64(69.14), np.float64(68.77), np.float64(68.77)]",success,
pants_shorts,리넨 쇼츠  베이지 (354625JQ1A),쇼츠,"['리넨 쇼츠  베이지 (354625JQ1A)', '밴딩 쇼츠  블랙 (354725MB25)', '벨티드 코튼 쇼츠  블랙 (354725MB15)', '슬럽 데님 쇼츠  스카이 블루 (324725DPCQ)', 'Pintuck short pants _ white', 'Double cable knit pants - Grey']","['쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠', '쇼츠']","[np.float64(99.06), np.float64(80.76), np.float64(78.04), np.float64(77.27), np.float64(73.74), np.float64(73.7)]",success,
